node,timestamp,pit_size,pit_growth_rate,cs_size,cache_hit_ratio,satisfaction_ratio,unsatisfied_ratio,in_interests_rate,out_interests_rate,in_data_rate,nack_rate,raw_score,norm_score,anom_30,anom_50,topology,model
p1,2026-05-27 11:31:38.522830,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.946946304062896,1.9893892608125792,1.9893892608125792,6.631297536041931,0.11072135737792321,54.060294234764655,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:41.538024,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.949608549234311,1.9899217098468622,1.9899217098468622,6.633072366156207,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:44.553596,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.948361372237175,1.9896722744474347,1.6580602287061956,6.6322409148247825,0.09360107382981508,50.33997261565655,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:47.570167,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.945066766205736,1.9890133532411471,1.9890133532411471,6.630044510803824,0.11072135737792321,54.060294234764655,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:50.586080,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.94723654163764,1.9894473083275281,1.9894473083275281,6.631491027758427,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:53.601841,3.0,0.0,254.0,0.0,0.24,0.76,9.61614663761485,1.9895475801961762,1.9895475801961762,6.300234003954557,0.11181782682580621,54.298562425836835,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:56.616577,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.95112009807824,1.990224019615648,1.990224019615648,6.6340800653854926,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:31:59.631714,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,10.281456530830937,2.321619216639244,2.321619216639244,6.633197761826411,0.09078200085910004,49.72737422677336,False,True,dumbbell,per_topo
p1,2026-05-27 11:32:02.647276,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,10.280007507721612,2.321292017872622,1.6580657270518728,6.632262908207491,0.07189897615711771,45.62400030568545,False,True,dumbbell,per_topo
p1,2026-05-27 11:32:05.662885,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.948239310865567,1.9896478621731133,1.9896478621731133,6.632159540577044,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:08.677809,3.0,0.0,254.0,0.0,0.23076923076923078,0.7692307692307693,9.95049958141565,1.99009991628313,1.99009991628313,6.633666387610433,0.1101156462444195,53.928670233411154,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:11.693236,3.0,0.0,255.0,0.0,0.25925925925925924,0.7407407407407407,10.280467741384554,2.321395941602964,2.65302393326053,6.632559833151325,0.0776359024603458,46.87066254075619,False,True,dumbbell,per_topo
p1,2026-05-27 11:32:14.726345,3.0,0.0,255.0,0.0,0.23076923076923078,0.7692307692307693,9.890841377609574,1.978168275521915,1.978168275521915,6.593894251739717,0.11729400036340654,55.488561805500936,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:17.742490,3.0,0.0,256.0,0.0,0.25925925925925924,0.7407407407407407,10.278020453260703,2.3208433281556426,1.989294281276265,6.63098093758755,0.09694013889162023,51.065567837379085,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:20.759777,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.942706809130188,1.9885413618260377,1.9885413618260377,6.628471206086792,0.11150344587832817,54.2302459033767,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:23.775627,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.947444335759405,1.989488867151881,2.321070345010528,6.6316295571729365,0.09771697839386018,51.23437887293461,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:26.790522,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.950595294363485,1.990119058872697,1.658432549060581,6.633730196242324,0.09356072678067118,50.33120500390669,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:29.812515,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,10.258130975154476,2.316352155680043,1.9854447048686081,6.618149016228694,0.0983888952518579,51.38038970307232,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:32.827912,3.0,0.0,256.0,0.0,0.24,0.76,9.948938730124093,2.321419037028955,1.9897877460248186,6.300994529078592,0.09593209926819424,50.84651588106007,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:35.855956,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.907385757934826,1.9814771515869651,2.311723343518126,6.6049238386232165,0.10283245909514949,52.34599792945661,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:38.873116,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.943125323151573,1.9886250646303145,1.9886250646303145,6.628750215434382,0.11206860341901259,54.353057410026224,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:41.889418,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.945953687661248,1.9891907375322497,1.6576589479435415,6.630635791774166,0.09336614251263664,50.28892088769606,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:44.904421,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.950238855483725,1.990047771096745,1.990047771096745,6.633492570322484,0.11030456522826693,53.96972325557009,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:47.919640,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.949526054326402,1.9899052108652804,1.9899052108652804,6.6330173695509345,0.11030456522826693,53.96972325557009,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:50.935116,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.948678085980456,1.9897356171960912,1.9897356171960912,6.632452057320304,0.11030456522826693,53.96972325557009,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:53.966523,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.896394644467074,1.9792789288934147,2.3091587503756505,6.597596429644716,0.10303079097457835,52.38909642001163,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:56.982410,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,9.94732229688977,1.989464459377954,1.6578870494816282,6.631548197926513,0.09336614251263664,50.28892088769606,False,False,dumbbell,per_topo
p1,2026-05-27 11:32:59.998098,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,10.279577993479432,2.3211950307856783,1.9895957406734384,6.631985802244794,0.09631946648481948,50.93069267792767,False,False,dumbbell,per_topo
p1,2026-05-27 11:33:03.013291,3.0,0.0,256.0,0.0,0.23076923076923078,0.7692307692307693,10.28126557736105,2.321576098113786,1.9899223698118162,6.6330745660393875,0.09631946648481948,50.93069267792767,False,False,dumbbell,per_topo
