topology,scenario,rate,run,Node,role,InInterests_pre,OutInterests_pre,InData_pre,cache_hit_ratio_pre,satisfaction_ratio_pre,timeout_ratio_pre,nack_ratio_pre,interest_amp_pre,data_ratio_pre,InInterests_atk,OutInterests_atk,InData_atk,cache_hit_ratio_atk,satisfaction_ratio_atk,timeout_ratio_atk,nack_ratio_atk,interest_amp_atk,data_ratio_atk
tree,ifa,10.0,5,4,router,0.6666666671305648,0.3333333698424738,0.3333333698424738,0.11791635162223398,0.05138045330964546,0.436678191513161,0.0,0.05062203170946469,1.0,8.010995527587007e-125,1.210200669185577e-178,1.210200669185577e-178,0.0,0.9665551839464883,0.9665551839464883,0.0,0.033444816053511704,0.7090301003344481
tree,ifa,10.0,5,5,router,0.6666667226571608,0.3333332753881212,0.3333332753881212,0.11074193691298954,0.06706646150536533,0.45107872767778173,0.0,0.06668944465530775,1.0,3.1282992813546417e-119,1.5490765857391721e-183,1.5490765857391721e-183,0.0,0.9933110367892977,0.9933110367892977,0.0,0.006688963210702341,0.68561872909699
tree,ifa,10.0,5,6,attacker,9.988333299999999,0.33000009095496563,0.33333339095496567,0.9654545454545455,0.03465801808814677,0.0013333333333333335,0.0,0.03377736804702152,1.0,19.99498320735786,9.994983277591974,2.624205698544732e-135,0.49924793403054274,0.0008805078060396717,0.49675652037362217,0.0,0.4998679255849763,2.9212292585327773e-136
tree,ifa,10.0,5,7,benign_consumer,9.988333299999999,0.32999997396107555,0.3333333406277422,0.9654545454545455,0.034257542612193506,0.0013333333333333335,0.0,0.034117626644838965,1.0,10.0,3.606915517976924e-161,3.606915517976924e-161,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.606915517976924e-162,0.7926421404682275
tree,ifa,10.0,5,8,benign_consumer,9.988333299999999,0.32999992938286193,0.3333332627161953,0.9654242424242424,0.034542126289513246,0.0013333333333333335,0.0,0.0340318432854217,1.0,10.0,8.010995527587007e-125,8.010995527587007e-125,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,8.010995527587006e-126,0.9665551839464883
tree,ifa,10.0,5,9,benign_consumer,9.988333299999999,0.33000007108103613,0.3333334044143694,0.9653939393939394,0.03485438973967485,0.0013333333333333335,0.0,0.03390378004796319,1.0,10.0,8.59899652879976e-146,8.59899652879976e-146,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,8.598996528799762e-147,0.8662207357859532
tree,ifa,10.0,5,10,benign_consumer,9.988333299999999,0.3300000182723777,0.33333338493904435,0.9653333333333334,0.03453465963712433,0.0013333333333333335,0.0,0.033654002929029044,1.0,10.0,3.1282992813546417e-119,3.1282992813546417e-119,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,3.1282992813546416e-120,0.9933110367892977
tree,ifa,10.0,5,11,benign_consumer,9.988333299999999,0.330000004384783,0.33333333771811635,0.9654242424242424,0.03458748962345826,0.0013333333333333335,0.0,0.03400725030241368,1.0,10.0,4.299498315087334e-145,4.299498315087334e-145,0.9982264112698896,0.0003344481605351171,0.0016722408026755853,0.0,4.299498315087335e-146,0.8695652173913043
tree,ifa,12.0,1,0,router,0.3333333708796625,0.3333333708796625,0.3333333708796625,0.0,1.0,0.8033333333333333,0.0,1.0,1.0,11.98325016722408,11.98325016722408,2.5863749594770846e-202,0.0,0.0003073236405224796,0.9569028424912213,0.0,1.0,2.3766138592754546e-203
tree,ifa,12.0,1,1,router,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,1.0,0.8,0.0,1.0,1.0,0.013377926421404762,0.013377926421404762,1.3625667592391222e-212,0.0,0.010861601455394908,0.9968784838350055,0.0,1.0,0.0033444816053511705
